NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
6,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8500012,1610.32504348657,300
7,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8547309,1596.71764039765,300
8,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8527245,1565.38818886313,300
9,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8785308,1613.62154967368,300
10,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.9179243,1652.85415457329,300
1,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3663307,1640.3109456812,300
2,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3853068,1623.16988847611,300
3,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3787881,1592.70423422726,300
4,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.4102886,1600.91189179676,300
5,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3685315,1570.96105009889,300
6,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.369014,1649.16316663155,300
7,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3733636,1681.46094375263,300
8,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3596585,1640.73334187213,300
9,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3605122,1659.84077947073,300
10,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3812737,1598.02299853928,300
1,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3579033,1640.3109456812,300
2,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3837774,1623.16988847611,300
3,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3819734,1592.70423422726,300
4,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3790158,1600.91189179676,300
5,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3707285,1570.96105009889,300
6,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3770363,1649.16316663155,300
7,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3555664,1681.46094375263,300
8,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3822236,1640.73334187213,300
9,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3878414,1659.84077947073,300
10,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3703392,1598.02299853928,300
1,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3715172,1640.3109456812,300
2,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3757109,1623.16988847611,300
3,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3759851,1592.70423422726,300
4,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3979656,1600.91189179676,300
5,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3709927,1570.96105009889,300
6,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3784764,1649.16316663155,300
7,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3569987,1681.46094375263,300
8,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3910019,1640.73334187213,300
9,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3665498,1659.84077947073,300
10,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,2,inversion,5.3640042,1598.02299853928,300
1,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.4562712,1632.89812546847,300
2,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2480519,1676.98962145163,300
3,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1777754,1565.987632656,300
4,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1879174,1735.87054321571,300
5,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.3256846,1705.30517252436,300
6,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2357481,1645.19678204205,300
7,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1757213,1679.98334639095,300
8,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2025407,1751.97198954011,300
9,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2018536,1714.81209566779,300
10,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2081738,1655.7093283732,300
1,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.4084325,1632.89812546847,300
2,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2701563,1676.98962145163,300
3,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2023869,1565.987632656,300
4,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2057677,1735.87054321571,300
5,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2283063,1705.30517252436,300
6,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2390624,1645.19678204205,300
7,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1926472,1679.98334639095,300
8,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2186738,1751.97198954011,300
9,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1929116,1714.81209566779,300
10,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2004501,1655.7093283732,300
1,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2196279,1632.89812546847,300
2,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2142312,1676.98962145163,300
3,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.196221,1565.987632656,300
4,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2096437,1735.87054321571,300
5,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2185247,1705.30517252436,300
6,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.2062765,1645.19678204205,300
7,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.198497,1679.98334639095,300
8,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1971688,1751.97198954011,300
9,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1831237,1714.81209566779,300
10,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,2,inversion,6.1931903,1655.7093283732,300
1,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8201001,1593.95066271458,300
2,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8867351,1496.91600662724,300
3,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.9444928,1569.41759432478,300
4,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8877939,1627.8945810222,300
5,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,6.4288639,1653.60323480606,300
6,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,7.7095056,1610.32504348657,300
7,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,6.553575,1596.71764039765,300
8,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.839744,1565.38818886313,300
9,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8408208,1613.62154967368,300
10,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8578448,1652.85415457329,300
1,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.905361,1593.95066271458,300
2,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8482945,1496.91600662724,300
3,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8573707,1569.41759432478,300
4,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8701634,1627.8945810222,300
5,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8712073,1653.60323480606,300
6,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8813855,1610.32504348657,300
7,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8534834,1596.71764039765,300
8,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8631662,1565.38818886313,300
9,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8851686,1613.62154967368,300
10,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8609176,1652.85415457329,300
1,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8634479,1593.95066271458,300
2,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.847193,1496.91600662724,300
3,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8380344,1569.41759432478,300
4,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8672905,1627.8945810222,300
5,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8419291,1653.60323480606,300
6,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8961139,1610.32504348657,300
7,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8449025,1596.71764039765,300
8,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8492392,1565.38818886313,300
9,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,5.8530811,1613.62154967368,300
10,x_orderx,300,300,0.05,0.15,0.15,4,0.5,70,1,2,inversion,6.0116628,1652.85415457329,300
1,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,2,inversion,5.5292709,1640.3109456812,300
2,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,2,inversion,5.3834464,1623.16988847611,300
3,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,2,inversion,5.3968495,1592.70423422726,300
4,xalt_edges,300,300,0.1,0.15,0.15,4,0.5,70,1,2,inversion,5.3759456,1600.91189179676,300
