NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.4355538,1958.55144285044,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.2947631,2097.40745201448,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.0054879,1896.33211131768,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.2407835,1968.68967790034,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.1343398,2046.77468919331,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.1125361,1870.75101706055,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.4519502,1871.54386927705,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.4100532,2003.23768432996,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.1178087,1886.50982819958,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.5829771,2022.42366835365,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.224087,1958.55144285044,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.3408636,2097.40745201448,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.2990527,1896.33211131768,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.2718534,1968.68967790034,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.0762253,2046.77468919331,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,7.0407999,1870.75101706055,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,7.5031181,1871.54386927705,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.4579805,2003.23768432996,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.0475512,1886.50982819958,300
1,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.2242501,683.013118454168,300
2,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.5401931,731.42464889521,300
3,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.6306692,705.516160811513,300
4,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.8568081,722.298576242399,300
5,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.6563326,728.091906689839,300
6,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.5289728,760.622226265725,300
7,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.4921315,728.231660330822,300
8,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.5479266,724.903531361843,300
9,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.6518682,749.529115807625,300
10,uhx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.1260018,696.83506382838,300
