NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
10,xalt_edges,64,60,0,0.05,0.05,4,1,1,1,1,0.171727,1780.61955651479,60
1,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2390701,1821.55424779251,60
2,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.235763,1821.55424779251,60
3,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.23193,1821.55424779251,60
4,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2393407,1821.55424779251,60
5,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2421167,1821.55424779251,60
6,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2413697,1821.55424779251,60
7,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2420638,1821.55424779251,60
8,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2335754,1821.55424779251,60
9,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2344876,1821.55424779251,60
10,xalt_edges,96,60,0,0.05,0.05,4,1,1,1,1,0.2427262,1821.55424779251,60
1,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3035211,1696.04149796642,60
2,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.311715,1696.04149796642,60
3,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3105373,1696.04149796642,60
4,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.306827,1696.04149796642,60
5,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3038993,1696.04149796642,60
6,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3158188,1696.04149796642,60
7,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.2999829,1696.04149796642,60
8,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3100446,1696.04149796642,60
9,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3286141,1696.04149796642,60
10,xalt_edges,128,60,0,0.05,0.05,4,1,1,1,1,0.3043286,1696.04149796642,60
1,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0745274,0,53
2,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0746763,0,53
3,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0732988,0,53
4,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0748849,0,53
5,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0787411,0,53
6,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0826409,0,53
7,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0807966,0,53
8,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0806186,0,53
9,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0835915,0,53
10,xalt_edges,32,80,0,0.05,0.05,4,1,1,1,1,0.0757063,0,53
1,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2258113,1654.31536201572,80
2,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.224273,1654.31536201572,80
3,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.226643,1654.31536201572,80
4,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2240647,1654.31536201572,80
5,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2190892,1654.31536201572,80
6,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2163084,1654.31536201572,80
7,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2141522,1654.31536201572,80
8,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2180086,1654.31536201572,80
9,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2279978,1654.31536201572,80
10,xalt_edges,64,80,0,0.05,0.05,4,1,1,1,1,0.2182059,1654.31536201572,80
1,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3041772,1699.65451246146,80
2,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3096133,1699.65451246146,80
3,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3192154,1699.65451246146,80
4,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3064689,1699.65451246146,80
5,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3090132,1699.65451246146,80
6,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3112413,1699.65451246146,80
7,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3039462,1699.65451246146,80
8,xalt_edges,96,80,0,0.05,0.05,4,1,1,1,1,0.3049346,1699.65451246146,80
