NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
7,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.2598584,871.051416270817,300
8,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.537481,839.156501030728,300
9,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.2346276,818.708245273982,300
10,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1246118,860.429355330577,300
1,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1315238,873.081888667009,300
2,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1437058,910.201828250065,300
3,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1409708,756.105441780886,300
4,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1496453,833.282319458721,300
5,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.5307706,869.623893186813,300
6,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1444611,833.8257056264,300
7,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1415968,871.051416270817,300
8,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1277305,839.156501030728,300
9,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1238975,818.708245273982,300
10,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,1,inversion,4.1324567,860.429355330577,300
1,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0239167,839.710534598145,300
2,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0011809,758.346424853902,300
3,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0125398,824.639061663472,300
4,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,3.9914484,811.798927606754,300
5,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0078311,816.698031801108,300
6,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0148628,810.221395113061,300
7,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,3.9965445,856.384168367941,300
8,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0177152,783.563933536358,300
9,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0345344,811.148607173011,300
10,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0388174,842.230565233208,300
1,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0265767,839.710534598145,300
2,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0059671,758.346424853902,300
3,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,3.9892012,824.639061663472,300
4,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,3.9983747,811.798927606754,300
5,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,3.9925091,816.698031801108,300
6,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0035461,810.221395113061,300
7,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0017606,856.384168367941,300
8,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,3.9917695,783.563933536358,300
9,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0103306,811.148607173011,300
10,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0259968,842.230565233208,300
1,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0034153,839.710534598145,300
2,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.0212058,758.346424853902,300
3,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.481712,824.639061663472,300
4,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.7214916,811.798927606754,300
5,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.4889821,816.698031801108,300
6,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.418545,810.221395113061,300
7,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.3638448,856.384168367941,300
8,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.3564637,783.563933536358,300
9,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.3611836,811.148607173011,300
10,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,1,inversion,4.3732759,842.230565233208,300
1,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.179392,840.682769053624,300
2,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.3037835,823.225226399773,300
3,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.1935896,861.146441403232,300
4,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.191592,801.280855382183,300
5,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.1752118,878.587803548946,300
6,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.1743188,786.750814331109,300
7,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.1528821,860.832919845918,300
8,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.2212019,776.57875254083,300
9,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.2596388,808.60561405793,300
10,xalt_edges,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.2029586,852.733108549698,300
1,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.2301255,840.682769053624,300
2,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.3621463,823.225226399773,300
3,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,3.8905343,861.146441403232,300
4,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,3.9069368,801.280855382183,300
5,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.3223956,878.587803548946,300
6,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.1652239,786.750814331109,300
7,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.1422,860.832919845918,300
8,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.5000757,776.57875254083,300
9,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.5950613,808.60561405793,300
10,xpmx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.3836589,852.733108549698,300
1,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.6531472,840.682769053624,300
2,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.627853,823.225226399773,300
3,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.7616977,861.146441403232,300
4,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,5.8445266,801.280855382183,300
5,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.3437008,878.587803548946,300
6,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.5246988,786.750814331109,300
7,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.4276944,860.832919845918,300
8,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.2220277,776.57875254083,300
9,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.2400622,808.60561405793,300
10,x_orderx,300,300,0.1,0.65,0.15,4,0.5,70,1,1,inversion,4.3615977,852.733108549698,300
1,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.5935846,873.081888667009,300
2,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.5984748,910.201828250065,300
3,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.4108618,756.105441780886,300
4,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.4604498,833.282319458721,300
5,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,5.1763084,869.623893186813,300
6,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,5.2252904,833.8257056264,300
7,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.3893996,871.051416270817,300
8,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.2428529,839.156501030728,300
9,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1539036,818.708245273982,300
10,xalt_edges,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1869021,860.429355330577,300
1,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1907002,873.081888667009,300
2,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1970663,910.201828250065,300
3,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1348197,756.105441780886,300
4,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1409537,833.282319458721,300
5,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.7820398,869.623893186813,300
6,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,5.1801657,833.8257056264,300
7,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.2534195,871.051416270817,300
8,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.2826303,839.156501030728,300
9,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1999523,818.708245273982,300
10,xpmx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.8275469,860.429355330577,300
1,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.4768466,873.081888667009,300
2,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.4788213,910.201828250065,300
3,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.4657585,756.105441780886,300
4,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,5.0969839,833.282319458721,300
5,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.8912287,869.623893186813,300
6,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.8472357,833.8257056264,300
7,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.7708397,871.051416270817,300
8,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.7687561,839.156501030728,300
9,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.7033152,818.708245273982,300
10,x_orderx,300,300,0.01,0.15,0.15,4,0.5,70,1,1,inversion,4.1664866,860.429355330577,300
1,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.6988068,839.710534598145,300
2,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.4482648,758.346424853902,300
3,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.5004096,824.639061663472,300
4,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.4222599,811.798927606754,300
5,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.3991903,816.698031801108,300
6,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.4425856,810.221395113061,300
7,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.4972108,856.384168367941,300
8,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.5980574,783.563933536358,300
9,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.9661283,811.148607173011,300
10,xalt_edges,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.2735436,842.230565233208,300
1,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.9097568,839.710534598145,300
2,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.6660085,758.346424853902,300
3,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,5.195349,824.639061663472,300
4,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.3671426,811.798927606754,300
5,xpmx,300,300,0.05,0.15,0.15,4,0.5,70,1,1,inversion,4.6809116,816.698031801108,300
